sample_id	subpopulation	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
S_00030	indica	0.299868	-0.01873	-0.010153	-0.011829	-0.001395	-0.025295	-0.002505	0.001224	0.036894	0.018869
S_00031	indica	0.259352	-0.063302	0.013398	-0.022788	0.006239	0.008375	-0.015328	0.039988	0.011347	-0.038055
S_00032	indica	0.230803	-0.045173	2.8e-05	0.009315	0.007811	-0.040783	-0.023166	0.015452	0.026024	0.038063
S_00033	indica	0.304988	-0.142962	0.01539	-0.038326	0.032272	0.005067	-0.022823	0.040198	0.012879	-0.037823
S_00034	indica	0.215412	-0.064381	0.002226	-0.009304	0.02747	-0.028466	0.006348	0.036284	-0.016539	0.004213
S_00035	indica	0.209985	-0.061922	0.012958	0.001941	-0.018875	0.03524	0.015832	-0.003342	-0.012733	-0.015687
S_00036	indica	0.271036	-0.029691	0.009189	-0.003689	0.012328	-0.00232	0.015277	-0.003664	0.016592	0.013448
S_00037	indica	0.191081	-0.072013	-0.018802	-0.014815	-0.01969	0.017316	-0.000932	0.031402	0.045587	0.000484
S_00038	indica	0.106151	-0.043633	-0.001507	-0.029769	-0.00501	0.005739	-0.009189	-0.015369	-0.015175	0.035734
S_00039	indica	0.188528	-0.070243	-0.007458	0.019087	-0.013694	0.009637	0.014558	0.014982	0.027994	-0.01101
S_00040	indica	0.265209	-0.068043	-0.007931	0.023922	0.016448	4.2e-05	-0.023828	0.011233	-0.012607	-0.018478
S_00041	indica	0.159544	-0.006375	-0.042421	0.007215	0.003478	-0.011691	0.020739	0.012229	-0.012126	-0.0134
S_00042	indica	0.239246	-0.110954	-0.006652	-0.012621	0.001398	0.004223	0.000736	0.022697	0.004561	-0.0063
S_00043	indica	0.126156	0.02183	0.010563	0.029016	-0.014949	0.000528	-0.001174	-0.001752	0.000208	-0.034291
S_00044	indica	0.246949	0.017757	0.022609	0.044991	-0.006379	-0.000723	0.000196	0.038844	-0.034624	0.009715
S_00045	indica	0.110731	-0.174173	-0.040417	-0.027635	0.021381	-0.017367	-0.004549	-0.02327	0.012219	-0.022039
S_00046	indica	0.276181	-0.079924	-0.015297	0.002455	0.000494	0.028494	0.002408	-0.024157	-0.011207	-0.011456
S_00047	indica	0.241019	0.001772	-0.002388	0.017392	-0.01057	-0.002725	0.003615	0.030564	-0.001971	-0.007016
S_00048	indica	0.135947	0.019706	-0.011753	0.006874	-0.038032	0.020864	-0.026639	-0.015547	0.021172	-0.026689
S_00049	indica	0.193286	-0.016594	-0.019971	0.026859	0.029976	-0.039432	-0.02898	0.016165	-0.02606	-0.007773
S_00050	indica	0.205687	0.02005	-0.004465	0.001904	-0.015535	0.025847	-0.009906	0.006795	-0.010233	0.002126
S_00051	indica	0.188022	-0.03064	-0.020276	0.015928	0.028281	0.004863	0.014647	0.016761	0.01856	0.006067
S_00052	indica	0.210594	0.030264	0.001377	-0.019478	0.000477	-0.037768	-0.000118	0.008267	0.02472	0.003026
S_00053	indica	0.25307	-0.021032	-0.02047	-0.028228	-0.019395	-0.027323	0.012674	-0.004152	0.011406	0.001469
S_00054	indica	0.259947	0.041905	-0.012907	-0.005486	-0.010657	-0.032426	0.013504	0.023776	-0.000129	-0.009864
S_00055	indica	0.262727	-0.160134	0.00355	0.002866	-0.011417	0.027831	0.019415	-0.005223	-0.001734	-0.00776
S_00056	indica	0.167614	-0.09862	0.027599	0.02056	0.015963	-0.021887	0.041617	0.039603	0.003761	-0.018084
S_00057	indica	0.146592	0.003834	-0.01826	-0.000684	0.021773	-0.030136	0.040115	0.031334	-0.024742	-0.028273
S_00058	indica	0.181184	-0.082181	-0.005274	-0.051624	-0.004574	0.036057	-0.022332	-0.005461	-0.029792	0.012765
S_00059	indica	0.184631	0.09415	0.004137	-0.007444	0.011005	-0.010125	-0.026786	0.006039	-0.003497	0.003326
S_00060	indica	0.220277	-0.051279	0.008432	0.034754	-0.022156	0.034749	-0.004856	-0.015333	0.048544	0.0031
S_00061	indica	0.279311	0.027511	-0.033612	0.002416	-0.010506	-0.026836	-0.035434	0.002046	0.011805	0.007813
S_00062	indica	0.179854	-0.068379	-0.019737	-0.011103	-0.020661	-0.004065	-0.000458	-0.01792	-0.004641	-0.015206
S_00063	indica	0.197735	0.009087	0.003563	0.009443	-0.03304	-0.007574	0.005535	0.012823	-0.03196	0.003184
S_00064	indica	0.269581	-0.031598	-0.001895	0.009009	0.004942	0.013493	0.001448	0.00305	-0.015649	-0.003409
S_00065	indica	0.272352	-0.033114	-0.003371	-0.00983	0.015744	-0.017094	0.01821	-0.018739	-0.021156	0.004119
S_00066	indica	0.205724	-0.003345	0.021251	-0.00825	0.00886	-0.018196	0.025183	0.012649	0.01073	0.003758
S_00067	indica	0.151388	-0.040424	0.010036	-0.000384	0.002475	-0.027196	0.003622	-0.013839	-0.021667	-0.003094
S_00068	indica	0.087847	0.020448	0.01704	-0.001069	-0.019876	-0.018907	-0.003022	-0.048475	0.00361	0.013289
S_00069	indica	0.179494	-0.050335	0.003639	0.007013	0.021883	0.000368	-0.013795	-0.009225	0.003639	0.031124
S_00070	indica	0.178997	-0.08345	-0.017402	-0.041927	0.006596	-0.027226	-0.02467	-0.03952	-0.02236	0.011368
S_00071	indica	0.120193	-0.124812	0.003565	-0.006823	0.008644	0.014811	-0.00017	-0.025955	-0.002476	0.010005
S_00072	indica	0.163409	-0.106289	0.022052	-0.008305	-0.008185	0.000319	0.020609	0.005272	-0.006665	0.013643
S_00073	indica	0.32539	0.061342	0.013457	-0.022446	0.075041	-0.023973	-0.007436	-0.013998	0.032538	0.008405
S_00074	indica	0.113324	-0.005123	0.010938	-0.00637	-0.024404	-0.014501	-0.008737	0.000455	-0.010398	0.014704
S_00075	indica	0.141636	-0.123729	-0.014788	0.026978	-0.011463	0.046816	0.00983	-0.023289	-0.016686	0.004867
S_00076	indica	0.128126	0.119892	-0.019818	0.013619	0.029203	-0.002184	-0.019917	-0.005461	0.007244	0.017515
S_00077	indica	0.201365	-0.10408	0.000846	-0.013467	-0.043665	-0.013951	-0.028649	0.011737	0.038883	0.037175
S_00078	indica	0.16399	-0.048732	0.013776	0.021226	-0.008375	-0.002853	0.044139	-0.002149	-0.009706	0.002398
S_00079	indica	0.232396	-0.081617	-0.004968	-0.023327	-0.005565	0.037538	0.014834	-0.001851	-0.018662	-0.006228
S_00080	indica	0.260344	-0.054327	0.029008	-0.027473	-0.005801	0.034855	-0.040157	0.023768	-0.037028	-0.001802
S_00081	indica	0.187763	0.027908	-0.063091	-0.038356	-0.01132	0.000738	-0.017864	-0.004417	-0.023723	-0.008025
S_00082	indica	0.147759	-0.006521	0.011628	0.028659	-0.013128	-0.00636	0.000955	-0.005898	-0.00104	-0.031244
S_00083	indica	0.220057	-0.075301	-0.019139	-0.031763	0.02322	-0.002812	0.02299	0.005446	-0.034067	-0.021674
S_00084	indica	0.242971	-0.066431	-0.021807	-0.003588	-0.003539	-0.020237	-0.006523	-0.00957	-0.0518	0.010053
S_00085	indica	0.149858	0.056397	-0.023002	-0.031592	0.023752	-0.031701	-0.012723	0.011947	-0.006593	-0.033109
S_00086	indica	0.209157	-0.03253	0.025677	0.011773	0.060714	-0.032918	-0.000433	-0.021333	0.023095	0.016437
S_00087	indica	0.24274	-0.067122	-0.014903	-0.040594	0.03419	0.010164	-0.005217	0.01867	0.015018	0.019505
S_00088	indica	0.10167	-0.063354	0.003909	0.007108	0.019145	-0.020173	0.002544	0.044107	0.013838	0.017411
S_00089	indica	0.196862	0.024546	0.03608	0.002133	0.02448	-0.017503	0.011802	0.018084	-0.01504	0.021962
S_00090	indica	0.157935	-0.068778	-2.4e-05	0.03864	0.006183	0.018716	-0.014636	0.00155	-0.023531	-0.011422
S_00091	indica	0.247581	-0.023278	0.029026	-0.004048	-0.003959	0.025534	-0.012972	-0.030395	0.026026	0.008284
S_00092	indica	0.069532	-0.018358	-0.008076	0.034897	-0.01458	-0.011615	-0.018208	-0.021081	-0.01401	-0.028718
S_00093	indica	0.136816	-0.116324	-0.029946	-0.031194	-0.010423	-0.013674	-0.024529	0.009565	-0.000962	-0.00864
S_00094	indica	0.170471	0.073511	0.004796	0.009508	-0.051721	-0.013075	-0.04342	-0.008524	0.007466	-0.013486
S_00095	indica	0.228771	-0.081683	0.011516	-0.031072	-0.005234	0.008396	0.010718	-0.002545	0.038794	-0.008288
S_00096	indica	0.171241	-0.184731	0.035379	-0.00738	-0.02352	0.026418	0.02471	0.002167	-0.028698	0.00838
S_00097	indica	0.161131	-0.090466	0.020867	-0.042652	0.011343	0.009187	0.04102	0.006503	-0.041169	-0.016722
S_00098	indica	0.201837	9.7e-05	0.019616	-0.039194	-0.006599	0.019397	0.030879	0.03722	-0.007804	0.021952
S_00099	indica	0.299562	0.050085	0.014474	0.016556	-0.015798	-0.028945	0.019657	-0.006941	-0.000563	-0.011574
S_00100	indica	0.174688	-0.00719	-0.020437	0.00137	0.004921	-0.001547	-0.014873	0.015732	0.037453	-0.012025
S_00101	indica	0.271245	0.031763	-0.053065	-0.015224	-0.012717	0.015635	0.00377	0.009488	0.012726	-0.017978
S_00102	indica	0.153705	-0.093558	-0.003405	-0.002382	0.003424	-0.014546	0.01813	0.018342	0.03093	0.014226
S_00103	indica	0.209007	0.018897	0.012195	-0.013036	0.025788	0.03437	0.039539	0.000705	0.006485	0.008327
S_00104	indica	0.197849	0.015744	-0.002424	-0.003876	0.03518	0.003294	0.00134	0.01764	0.003007	0.005832
S_00105	indica	0.194229	-0.093411	-0.000619	-0.022738	0.004203	-0.023629	0.018334	0.014985	0.005609	-0.002003
S_00106	indica	0.222701	-0.13759	-0.021936	-0.002975	0.006905	-0.001588	-0.020092	0.002669	-0.009074	-0.021372
S_00107	indica	0.21755	-0.033459	0.02393	0.013311	0.014693	0.006433	-0.016904	-0.018713	-0.029423	0.05758
S_00108	indica	0.133953	-0.03345	-0.007208	-0.005622	-0.011681	-0.037367	-0.019964	-0.027813	-0.002536	-0.013684
S_00109	indica	0.157227	-0.008191	-0.011656	0.018642	-0.007724	0.004503	-0.026506	0.013137	-0.008104	0.008175
S_00110	indica	0.21758	-0.031291	0.004349	-0.007706	0.026922	0.018686	0.00965	-0.023603	-0.021986	-0.013277
S_00111	indica	0.183463	0.005582	-0.017931	0.023541	7.2e-05	-0.040256	-0.009506	-0.051704	-0.015035	-0.010983
S_00112	indica	0.161782	-0.040298	-0.007882	-0.011875	0.03005	0.024298	-0.022837	0.025078	-0.032427	-0.016292
S_00113	indica	0.288495	-0.15388	0.011496	-0.02507	-0.00288	-0.003604	0.033944	-0.016212	-0.00138	0.01254
S_00114	indica	0.183061	-0.069776	-0.001184	0.00187	0.017681	-0.018861	-0.008983	0.006459	-0.003343	-0.003706
S_00115	indica	0.196991	-0.062286	-0.015994	0.008815	-0.021902	0.023308	0.004346	-0.025531	0.005661	0.003346
S_00116	indica	0.243222	0.047758	-0.007328	-0.014155	-0.01212	-0.019622	-0.014929	0.00569	0.000305	-0.009827
S_00117	indica	0.154197	-0.000359	-0.010032	-0.020803	-0.003033	-0.00529	-0.021401	0.016544	0.01692	0.000818
S_00118	indica	0.205775	0.010287	-0.000618	0.017826	0.03312	0.00161	0.008805	0.017469	-0.006761	-0.022566
S_00119	indica	0.251756	-0.11408	0.035777	0.017409	0.003754	0.001022	0.035027	-0.018925	-0.023204	-0.011963
S_00120	indica	0.182467	-0.080717	0.003077	0.002719	-0.016277	0.032061	-0.027841	-0.025534	0.007522	-0.00415
S_00121	indica	0.222785	-0.057726	-0.020667	-0.012911	-0.013672	0.0105	-0.009599	0.015229	0.011762	0.020812
S_00122	indica	0.251443	0.025538	0.015397	-0.010334	-0.005238	-0.036603	0.005835	-0.013475	0.008031	0.01055
S_00123	indica	0.117776	-0.081154	-0.006987	-0.010352	0.00334	-0.023108	0.000944	-0.03377	-0.043102	0.014333
S_00124	indica	0.120551	-0.054222	-0.028347	-0.028177	-0.007977	-0.008203	0.019652	0.00899	-0.005222	0.015154
S_00125	indica	0.264249	0.003404	-0.008126	0.020372	0.03537	0.013211	0.035414	0.018532	0.016977	-0.021804
S_00126	indica	0.131929	-0.023936	-0.033389	-0.011859	0.017347	-0.013303	0.010664	-0.027025	-0.009873	0.020469
S_00127	indica	0.210372	-0.003777	0.034094	0.025936	-0.017537	0.026358	-0.012305	-0.000352	0.000304	0.021461
S_00128	indica	0.130997	0.00581	0.01048	0.01623	-0.004208	0.020068	-0.014231	0.022941	0.007045	-0.028002
S_00129	indica	0.222203	-0.010361	-0.007113	-0.014725	-0.004804	-0.028843	0.033814	-0.022566	-0.013226	0.022898
S_00130	indica	0.232712	0.021735	0.030334	-0.006243	-0.02093	0.016885	0.015926	-0.006538	-0.025312	0.024783
S_00131	indica	0.232167	-0.102493	0.015599	-0.02882	-0.009653	-0.022466	-0.012757	-0.016666	-0.012266	0.014485
S_00132	indica	0.215479	0.016305	0.021847	-0.007454	0.001598	0.010763	0.034135	0.017982	0.027631	0.020379
S_00133	indica	0.260731	-0.12689	0.017617	0.004258	0.001084	-0.010545	-0.008505	0.008324	0.0168	-0.029956
S_00134	indica	0.210941	-0.054267	-0.019016	0.007852	-0.006574	-0.013181	-0.015383	0.005626	-0.000201	-0.021833
S_00135	indica	0.148101	-0.031829	0.008103	-0.020994	0.009762	-0.01648	0.054555	-0.01882	-0.015803	0.00388
S_00136	indica	0.144459	0.028106	0.036028	-0.007752	0.003455	-0.010355	-1e-06	0.028635	0.017885	-0.018084
S_00137	indica	0.289724	0.047949	0.009727	-0.013184	0.001314	-0.015909	0.009352	-0.006329	-0.044699	0.018524
S_00138	indica	0.20936	0.04299	-0.002724	0.003769	0.022307	0.007756	0.00576	0.064288	-0.00338	0.003384
S_00139	indica	0.300886	-0.068764	-0.02082	-0.028641	0.010673	0.012513	0.01483	-0.027071	0.020117	0.023945
S_00140	indica	0.192226	-0.019068	0.013512	0.007343	0.012839	-0.021722	-0.003492	-0.024249	0.012626	0.010604
S_00141	indica	0.192137	-0.00339	-0.03113	0.017159	-0.009345	0.002581	0.022307	-0.01513	0.023945	0.002482
S_00142	indica	0.199673	0.011992	-0.024941	0.011882	0.00123	0.020726	-0.004336	-0.007266	0.007393	-0.001187
S_00143	indica	0.128345	-0.032508	0.025353	-0.001862	-0.017409	0.014319	-0.037069	-0.042405	-8.3e-05	0.003619
S_00144	indica	0.211077	-0.073972	-0.00301	-0.027975	0.004391	-0.032306	-0.002985	0.005232	-0.035133	-0.01045
S_00145	indica	0.244763	0.070905	-0.030079	0.006798	-0.024719	-0.026905	0.031921	0.013364	-0.016084	0.004381
S_00146	indica	0.236089	-0.010243	0.044946	0.012116	-0.05986	-0.005804	-0.014732	-0.004083	0.000269	-0.013023
S_00147	indica	0.133628	0.059895	0.011947	-0.013415	0.013593	0.013504	0.025346	-0.021106	0.015598	-0.012156
S_00148	indica	0.266533	-0.032419	-0.045436	0.000707	-0.035683	-0.004343	-0.001164	-0.008026	-0.029738	-0.022315
S_00149	indica	0.147888	-0.035721	0.02577	0.014182	-0.009444	0.025478	-0.027361	0.0137	-0.003505	0.004726
S_00150	indica	0.235882	-0.061321	0.016023	-0.000186	0.048236	-0.006085	0.025383	0.012942	-0.023483	0.027212
S_00151	indica	0.135082	-0.153432	0.017066	0.021379	0.001041	-0.00522	0.031674	0.014237	-0.013117	0.014631
S_00152	indica	0.124231	-0.054165	-0.021023	-0.044	-0.023546	0.024447	-0.021956	-0.011001	-0.023219	0.017312
S_00153	indica	0.198071	0.008118	-0.002114	-0.023421	-0.019479	0.016745	-0.001148	0.015488	-0.063252	0.022202
S_00154	indica	0.168691	0.107923	-0.010215	0.000565	0.013208	-0.017516	0.017455	-0.012904	0.025782	0.015864
S_00155	indica	0.227408	-0.063969	-0.004211	0.005998	-0.040667	-0.011035	0.018761	-0.025364	0.02558	-0.012566
S_00156	indica	0.21718	-0.089095	0.009688	0.009255	0.022727	0.027081	0.02507	0.004178	-0.024523	0.026475
S_00157	indica	0.120621	-0.04703	0.014742	0.008871	0.031861	-8.1e-05	-0.033801	-0.005505	0.003481	-0.007012
S_00158	indica	0.281806	-0.035692	-0.028717	0.009336	-0.022954	0.033998	0.005402	-0.028066	0.021588	0.047385
S_00159	indica	0.079093	0.032582	0.009681	0.003514	0.006867	0.009838	-0.01386	0.02822	-0.02699	0.039171
S_00160	indica	0.288643	-0.091377	-0.000108	0.028397	-0.00982	-0.003248	-0.008048	0.023349	-0.012154	-0.000197
S_00161	indica	0.230053	-0.033318	-0.017329	-0.026831	-0.030365	-0.023596	-0.034411	-0.014538	0.006004	0.001082
S_00162	indica	0.148953	-0.081402	-0.019868	-0.027758	-0.024718	0.014287	-0.028092	0.000346	-0.012361	0.048559
S_00163	indica	0.091382	-0.009531	-0.006675	-0.015423	0.006304	0.003112	-0.021378	0.008526	0.007783	0.026189
S_00164	indica	0.161808	0.066246	-0.003936	-0.03952	0.010462	-0.001632	-0.017647	0.018665	-0.009433	0.020338
S_00165	indica	0.193093	0.023519	0.01359	0.009463	-0.020641	0.018394	0.000435	0.040045	0.009573	0.015023
S_00166	indica	0.152616	-0.045098	0.001934	-0.02341	-0.023406	-0.002172	-0.001557	0.004041	0.022342	-0.008007
S_00167	indica	0.238399	-0.029582	-0.00388	0.005141	-0.041355	0.001327	-0.012765	-0.018597	-0.03774	-0.008858
S_00168	indica	0.086605	0.030627	-0.004786	-0.033641	-0.01347	0.015099	-0.011898	-0.005624	-0.007384	-0.002566
S_00169	indica	0.097147	-0.023697	-0.011162	0.059076	-0.00426	-0.009112	0.01977	-0.003121	0.005067	-0.017482
S_00170	indica	0.290277	-0.058242	0.007507	0.022647	-0.00609	-3e-06	0.01173	0.013654	-0.021802	0.00363
S_00171	indica	0.141908	-0.065225	-0.012968	0.02432	0.031932	0.052109	-0.001131	-0.016828	-0.01939	0.03215
S_00172	indica	0.106723	-0.039807	-0.011321	0.035	-0.020267	0.022033	0.026267	-0.003335	0.00931	-0.030774
S_00173	indica	0.192766	-0.033758	-0.051592	0.008308	0.007103	-0.033868	-0.028246	-0.014986	-0.010584	-0.006127
S_00174	indica	0.141151	-0.0808	0.00613	-0.009505	-0.002136	-0.004594	0.009144	-0.003085	0.017231	0.00206
S_00175	indica	0.250749	0.052994	-0.02921	0.01844	0.035656	-0.019451	-0.000637	-0.007144	0.008817	0.0104
S_00176	indica	0.158288	0.056878	-0.017134	-0.002766	0.020472	0.039069	-0.010253	0.015646	0.004401	-0.031649
S_00177	indica	0.141325	-0.092483	-0.010066	-0.008336	0.000559	0.025554	0.00845	0.053061	-0.004869	0.015785
S_00178	indica	0.222588	0.06839	-0.007574	0.016905	0.032581	-0.014416	-0.001497	0.010086	-0.008696	-0.017505
S_00179	indica	0.306742	-0.034626	0.034682	-0.010169	-0.004142	0.015943	-0.00412	-0.017977	-0.014398	0.005453
S_00180	indica	0.158477	-0.015775	-0.045146	-0.011162	-0.003606	-0.010253	-0.019872	-0.01767	0.00141	0.029741
S_00181	indica	0.115027	-0.037391	0.019541	0.006689	-0.001875	-0.009014	0.000265	-0.002021	-0.043729	-0.014316
S_00182	indica	0.082324	0.055603	0.016453	-0.015765	0.016098	0.048973	-0.012462	0.025986	0.00725	-0.004734
S_00183	indica	0.132383	-0.053985	-0.007898	-0.046316	0.010609	-0.006435	0.009185	-0.008385	0.059965	-0.033146
S_00184	indica	0.142638	0.020842	0.047169	-0.019848	0.036584	-0.018341	0.025867	0.001508	0.0446	0.03564
S_00185	indica	0.159568	0.153185	-0.022483	-0.006272	0.036158	-0.014696	-0.012827	0.002613	0.00905	0.007744
S_00186	indica	0.153755	-0.009318	0.012749	0.03008	0.006563	-0.02506	0.000568	-0.012412	0.026381	-0.033508
S_00187	indica	0.231211	-0.084214	0.025441	0.015423	0.004387	0.010099	-0.006738	0.013516	-0.000993	0.014624
S_00188	indica	0.201476	-0.168217	-0.010273	0.03035	0.029051	0.002091	-0.002521	-0.006705	0.012611	0.011581
S_00189	indica	0.139907	0.018258	0.024658	-0.019097	-0.003737	0.009271	0.014455	-0.008411	-0.010574	-0.009278
S_00190	indica	0.220857	0.004461	-0.000388	-0.027284	-0.0218	0.012736	-0.024422	0.004527	-0.007216	-0.012045
S_00191	indica	0.199584	0.078464	0.005776	-0.005913	-0.029467	0.010245	0.022734	0.012148	0.023319	0.009532
S_00192	indica	0.120672	-0.023667	0.010497	0.01442	-0.009862	-0.001267	0.007317	0.025426	0.020105	0.012926
S_00193	indica	0.221509	-0.081833	-0.022019	-0.001837	0.020832	0.007907	0.011222	-0.030031	-0.029233	0.022398
S_00194	indica	0.195945	-0.098945	0.017643	0.005161	0.059029	0.025	0.006934	-0.003022	0.004646	-0.002053
S_00195	indica	0.112631	0.034033	0.005497	-0.055094	-0.01271	-0.016575	0.019618	-0.000881	0.029748	-0.03183
S_00196	indica	0.13417	0.042314	-0.013104	-0.021173	-0.010533	-0.015196	0.010787	0.022363	-0.031738	-0.005816
S_00197	indica	0.198845	-0.016123	0.016665	0.002397	-0.011596	-0.022238	-0.036494	-0.007422	0.000288	0.018434
S_00198	indica	0.175586	0.116873	-0.00153	-0.009667	0.007612	-0.019411	0.004178	-0.041282	0.013522	0.001334
S_00199	indica	0.210494	-0.011815	-0.025475	-0.017972	0.031328	0.009892	-0.011945	0.008422	0.008154	0.03909
S_00200	indica	0.263881	0.003396	-0.008984	0.035674	-0.002031	-0.01741	-0.024405	-0.017248	-0.007282	0.015308
S_00201	indica	0.252182	0.047297	0.00306	0.01663	0.045186	0.018206	0.032058	-0.030213	-0.014836	-0.015022
S_00202	indica	0.039163	-0.016628	0.027849	-0.010706	0.003909	-0.017081	-0.009835	0.005706	-0.023916	0.023481
S_00203	indica	0.084154	-0.001881	-0.00983	0.029783	0.015237	-0.041683	-0.048448	-0.020027	-0.010045	-0.00378
S_00204	indica	0.199795	0.018967	-0.02732	-0.036011	0.005049	-0.00722	-0.002067	-0.012837	-0.003464	0.02973
S_00205	indica	0.101686	-0.093715	0.012832	0.031348	-0.004113	-0.025254	-0.040022	0.005211	-0.024987	0.043512
S_00206	indica	0.336935	-0.007573	0.009709	-0.002358	0.022836	-6.1e-05	0.001267	0.027208	0.012524	0.04262
S_00207	indica	0.100881	-0.053965	-0.018078	0.016836	-0.009872	0.012047	-0.02338	-0.001887	0.04594	0.032767
S_00208	indica	0.08654	0.000632	0.016527	-0.009868	-0.022048	0.01324	0.002017	0.011051	-0.003161	0.046623
S_00209	indica	0.143779	-0.050429	0.010298	0.014635	-0.027574	0.025946	-0.029162	0.000128	-0.006141	-0.014152
S_00210	indica	0.26524	-0.160258	-0.014616	-0.018055	0.017498	0.031008	0.015509	0.027906	-0.044491	0.003272
S_00211	indica	0.11594	-0.043248	0.004893	0.001892	0.027515	-0.039573	-0.016715	-0.029613	-0.032776	0.020116
S_00212	indica	0.208824	0.071359	0.023704	0.001363	-0.019392	0.019836	-0.013832	-0.023988	-0.023008	0.002437
S_00213	indica	0.273088	-0.017879	0.024489	0.001827	-0.008529	0.054423	0.036421	0.003938	-0.016644	-0.032181
S_00214	indica	0.221814	-0.03616	0.00934	0.006461	0.008726	0.022845	0.006284	-0.014469	-0.015411	0.011663
S_00215	indica	0.134405	0.021622	0.014284	-0.000878	-0.015628	-0.035527	-0.022479	-0.032519	0.000533	-0.008846
S_00216	indica	0.143374	0.030775	0.002587	0.000952	0.011162	0.020729	-0.032056	0.014134	-0.036179	-0.015888
S_00217	indica	0.258054	0.020013	0.013295	0.003642	0.02826	-0.030816	-0.006103	0.000947	0.040706	0.020531
S_00218	indica	0.259613	-0.066173	0.044993	0.009436	-0.020118	0.046907	-0.028538	-0.017374	-0.00468	-0.019608
S_00219	indica	0.229281	-0.004579	0.00227	0.037876	-0.032679	0.027328	-0.016493	0.029243	0.038104	0.046031
S_00220	indica	0.186696	-0.09002	0.006559	-0.001067	-0.035257	0.014711	-0.018454	0.02884	0.019303	-0.005627
S_00221	indica	0.200146	-0.035392	-0.009148	0.061966	-0.018724	0.001107	0.019829	-0.007687	-0.012571	-0.026582
